id,audit_trail,cap_group,cap_info,cap_order,description,entity_type,is_active,is_api,is_console,is_immutable,name,extra_info,created_at,created_by,modified_at,modified_by,deleted_at,deleted_by
1,"{""checked"": false}",Inquiry,Inquiry UI Get handles inquiry ui get operations,,Inquiry UI Get,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,inq_ui_get,,,,,,,
2,"{""checked"": false}",Inquiry,Inquiry API list handles inquiry api list operations,,Inquiry Api List,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,inq_api_list,,,,,,,
3,"{""checked"": false}",Inquiry,Inquiry Bulk list handles inquiry bulk list operations,,Inquiry Bulk List,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,inq_bulk_list,,,,,,,
4,"{""checked"": false}",Inquiry,Inquiry Bulk upload handles inquiry bulk upload operations,,Inquiry Bulk Upload,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,inq_bulk_upload,,,,,,,
5,"{""checked"": false}",Inquiry,Inquiry Bulk approve handles inquiry bulk approve operations,,Inquiry Bulk Approve,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,inq_bulk_approve,,,,,,,
6,"{""checked"": false}",Inquiry,Inquiry Bulk reject handles inquiry bulk reject operations,,Inquiry Bulk Reject,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,inq_bulk_reject,,,,,,,
7,"{""checked"": false}",Download,Download Viewer List handles download Viewer list operations,,Download Viewer List,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,down_v_list,,,,,,,
8,"{""checked"": false}",Download,Download Viewer Get handles download viewer get operations,,Download Viewer Get,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,down_v_get,,,,,,,
9,"{""checked"": false}",Download,Download Maker List handles download maker list operations,,Download Maker List,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,down_m_list,,,,,,,
10,"{""checked"": false}",Download,Download Maker Get handles download maker get operations,,Download Maker Get,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,down_m_get,,,,,,,
11,"{""checked"": false}",Download,Download Maker Bulk upload handles download maker bulk upload operations,,Download Maker Bulk Upload,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,down_m_bulk_upload,,,,,,,
12,"{""checked"": false}",Download,Download Checker List handles download checker list operations,,Download Checker List,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,down_c_list,,,,,,,
