id,audit_trail,cap_id,role_id,extra_info,created_at,created_by,modified_at,modified_by,deleted_at,deleted_by
1,,53,1,,,,,,,
2,,54,1,,,,,,,
3,,55,1,,,,,,,
4,,56,1,,,,,,,
5,,57,1,,,,,,,
6,,58,1,,,,,,,
7,,59,1,,,,,,,
8,,60,1,,,,,,,
9,,61,1,,,,,,,
10,,62,1,,,,,,,
11,,63,1,,,,,,,
12,,83,51,,,,,,,
13,,84,51,,,,,,,
14,,85,51,,,,,,,
15,,86,51,,,,,,,
16,,87,51,,,,,,,
17,,88,51,,,,,,,
18,,89,51,,,,,,,
19,,90,51,,,,,,,
20,,91,51,,,,,,,
21,,92,51,,,,,,,
22,,93,51,,,,,,,
23,,94,51,,,,,,,
24,,9,2,,,,,,,
25,,10,2,,,,,,,
26,,11,2,,,,,,,
27,,19,2,,,,,,,
28,,20,2,,,,,,,
29,,21,2,,,,,,,
30,,22,2,,,,,,,
31,,23,2,,,,,,,
32,,24,2,,,,,,,
33,,25,2,,,,,,,
34,,36,2,,,,,,,
35,,37,2,,,,,,,
36,,38,2,,,,,,,
37,,39,2,,,,,,,
38,,40,2,,,,,,,
39,,41,2,,,,,,,
40,,42,2,,,,,,,
41,,70,2,,,,,,,
42,,71,2,,,,,,,
43,,72,2,,,,,,,
44,,73,2,,,,,,,
45,,74,2,,,,,,,
46,,75,2,,,,,,,
47,,85,2,,,,,,,
48,,86,2,,,,,,,
49,,87,2,,,,,,,
50,,88,2,,,,,,,
51,,89,2,,,,,,,
52,,95,2,,,,,,,
53,,96,2,,,,,,,
54,,97,2,,,,,,,
55,,98,2,,,,,,,
56,,99,2,,,,,,,
57,,12,3,,,,,,,
58,,13,3,,,,,,,
59,,14,3,,,,,,,
60,,15,3,,,,,,,
61,,26,3,,,,,,,
62,,27,3,,,,,,,
63,,28,3,,,,,,,
64,,29,3,,,,,,,
65,,30,3,,,,,,,
66,,31,3,,,,,,,
67,,32,3,,,,,,,
68,,33,3,,,,,,,
69,,43,3,,,,,,,
70,,44,3,,,,,,,
71,,45,3,,,,,,,
72,,46,3,,,,,,,
73,,47,3,,,,,,,
74,,48,3,,,,,,,
75,,49,3,,,,,,,
76,,50,3,,,,,,,
77,,76,3,,,,,,,
78,,77,3,,,,,,,
79,,78,3,,,,,,,
80,,79,3,,,,,,,
81,,80,3,,,,,,,
82,,81,3,,,,,,,
83,,82,3,,,,,,,
84,,90,3,,,,,,,
85,,91,3,,,,,,,
86,,92,3,,,,,,,
87,,93,3,,,,,,,
88,,94,3,,,,,,,
89,,95,3,,,,,,,
90,,96,3,,,,,,,
91,,97,3,,,,,,,
92,,98,3,,,,,,,
93,,100,3,,,,,,,
94,,101,3,,,,,,,
95,,7,4,,,,,,,
96,,8,4,,,,,,,
97,,17,4,,,,,,,
98,,18,4,,,,,,,
99,,34,4,,,,,,,
100,,35,4,,,,,,,
101,,51,4,,,,,,,
102,,52,4,,,,,,,
103,,68,4,,,,,,,
104,,69,4,,,,,,,
105,,83,4,,,,,,,
106,,84,4,,,,,,,
107,,95,4,,,,,,,
108,,96,4,,,,,,,
109,,97,4,,,,,,,
110,,98,4,,,,,,,
111,,53,5,,,,,,,
112,,54,5,,,,,,,
113,,55,5,,,,,,,
114,,56,5,,,,,,,
115,,57,5,,,,,,,
116,,58,5,,,,,,,
117,,59,5,,,,,,,
118,,60,5,,,,,,,
119,,61,5,,,,,,,
120,,62,5,,,,,,,
121,,63,5,,,,,,,
122,,9,6,,,,,,,
123,,10,6,,,,,,,
124,,11,6,,,,,,,
125,,19,6,,,,,,,
126,,20,6,,,,,,,
127,,21,6,,,,,,,
128,,22,6,,,,,,,
129,,23,6,,,,,,,
130,,24,6,,,,,,,
131,,25,6,,,,,,,
132,,36,6,,,,,,,
133,,37,6,,,,,,,
134,,38,6,,,,,,,
135,,39,6,,,,,,,
136,,40,6,,,,,,,
137,,41,6,,,,,,,
138,,42,6,,,,,,,
139,,12,7,,,,,,,
140,,13,7,,,,,,,
141,,14,7,,,,,,,
142,,15,7,,,,,,,
143,,26,7,,,,,,,
144,,27,7,,,,,,,
145,,28,7,,,,,,,
146,,29,7,,,,,,,
147,,30,7,,,,,,,
148,,31,7,,,,,,,
149,,32,7,,,,,,,
150,,33,7,,,,,,,
151,,43,7,,,,,,,
152,,44,7,,,,,,,
153,,45,7,,,,,,,
154,,46,7,,,,,,,
155,,47,7,,,,,,,
156,,48,7,,,,,,,
157,,49,7,,,,,,,
158,,50,7,,,,,,,
159,,7,8,,,,,,,
160,,8,8,,,,,,,
161,,17,8,,,,,,,
162,,18,8,,,,,,,
163,,34,8,,,,,,,
164,,35,8,,,,,,,
166,,52,8,,,,,,,
167,,68,8,,,,,,,
168,,69,8,,,,,,,
169,,83,8,,,,,,,
170,,84,8,,,,,,,
171,,95,8,,,,,,,
172,,96,8,,,,,,,
173,,97,8,,,,,,,
174,,98,8,,,,,,,
175,,53,9,,,,,,,
176,,54,9,,,,,,,
177,,55,9,,,,,,,
178,,56,9,,,,,,,
179,,57,9,,,,,,,
180,,58,9,,,,,,,
181,,59,9,,,,,,,
182,,60,9,,,,,,,
183,,61,9,,,,,,,
184,,62,9,,,,,,,
185,,63,9,,,,,,,
186,,9,10,,,,,,,
187,,10,10,,,,,,,
188,,11,10,,,,,,,
189,,19,10,,,,,,,
190,,20,10,,,,,,,
191,,21,10,,,,,,,
192,,22,10,,,,,,,
193,,23,10,,,,,,,
194,,24,10,,,,,,,
195,,25,10,,,,,,,
196,,36,10,,,,,,,
197,,37,10,,,,,,,
198,,38,10,,,,,,,
199,,39,10,,,,,,,
200,,40,10,,,,,,,
201,,41,10,,,,,,,
202,,42,10,,,,,,,
203,,12,11,,,,,,,
204,,13,11,,,,,,,
205,,14,11,,,,,,,
206,,15,11,,,,,,,
207,,26,11,,,,,,,
208,,27,11,,,,,,,
209,,28,11,,,,,,,
210,,29,11,,,,,,,
211,,30,11,,,,,,,
212,,31,11,,,,,,,
213,,32,11,,,,,,,
214,,33,11,,,,,,,
215,,43,11,,,,,,,
216,,44,11,,,,,,,
217,,45,11,,,,,,,
218,,46,11,,,,,,,
219,,47,11,,,,,,,
220,,48,11,,,,,,,
