id,class_type,code,okracode,description,seq,sname,extra_info,V1_code,cmt_srl_num,cmt_drpdwn_key,cmt_attr_key
1,APPLICANTTYPE,1,1,Individual,1,I,,,,,
2,APPLICANTTYPE,2,2,Nonindividual,2,NI,,,,,
3,ADDRTYPE,1,1,Communication,1,Comm,,,,,
4,ADDRTYPE,2,2,Permanent,2,Perm,,,,,
5,RELATIONS_IND,1,1,Father,1,father,,,,,
6,RELATIONS_IND,2,2,Mother,2,mother,,,,,
7,RELATIONS_IND,3,3,Spouse,3,spouse,,,,,
8,RELATIONS_IND,4,4,Sister,4,sister,,,,,
9,RELATIONS_IND,5,5,Brother,5,brother,,,,,
10,RELATIONS_IND,6,6,Husband,6,husband,,,,,
11,RELATIONS_IND,7,7,Wife,7,wife,,,,,
12,RELATIONS_IND,8,8,Guardian,8,guardian,,,,,
13,RELATIONS_NIND,1,1,Promoter,1,Promoter,,,,,
14,RELATIONS_NIND,2,2,Partner,2,Partner,,,,,
15,RELATIONS_NIND,3,3,Karta,3,Karta,,,2,POSKARTATYPE,POSKARTATYPE
16,RELATIONS_NIND,4,4,Trustee,4,Trustee,,,,,
17,RELATIONS_NIND,5,5,Whole Time Director,5,Whole Time Director,,,,,
18,RELATIONS_NIND,6,6,Beneficial Owner,6,Beneficial Owner,,,1436,MIKARTATYPE,MIKARTATYPE
19,RELATIONS_NIND,7,7,Promoter & Beneficial Owner,7,Promoter & Beneficial Owner,,,1437,MIKARTATYPE,MIKARTATYPE
20,RELATIONS_NIND,8,8,Whole Time Director & Beneficial Owner,8,Whole Time Director & Beneficial Owner,,,1438,MIKARTATYPE,MIKARTATYPE
21,RELATIONS_NIND,9,9,Trustee & Beneficial Owner,9,Trustee & Beneficial Owner,,,1439,MIKARTATYPE,MIKARTATYPE
22,RELATIONS_NIND,10,10,Authorised Signatory & Beneficial Owner,10,Authorised Signatory & Beneficial Owner,,,1440,MIKARTATYPE,MIKARTATYPE
23,RELATIONS_NIND,11,11,Partner & Beneficial Owner,11,Partner & Beneficial Owner,,,1441,MIKARTATYPE,MIKARTATYPE
24,RELATIONS_NIND,12,12,Director & Beneficial Owner,12,Director & Beneficial Owner,,,1442,MIKARTATYPE,MIKARTATYPE
25,RELATIONS_NIND,99,13,Others (please specify),13,Others (please specify),,,,,
26,AADHAAR_SEEDING_STATUS,1,1,Operative PAN - Positive case,1,Y,,,,,
27,AADHAAR_SEEDING_STATUS,2,2,Inoperative PAN - Negative case,2,N,,,,,
28,AADHAAR_SEEDING_STATUS,3,3,Only for Non-Individuals - Positive case,3,NA,,,,,
29,OCCUPATION_IND,1,1,Public Sector,1,Public Sector,,,54,MIOCCUPATION,MIOCCUPATION
30,OCCUPATION_IND,2,2,Private Sector,2,Private Sector,,,53,MIOCCUPATION,MIOCCUPATION
31,OCCUPATION_IND,3,3,Government Service,3,Government Service,,,55,MIOCCUPATION,MIOCCUPATION
32,OCCUPATION_IND,4,4,Business,4,Business,,,56,MIOCCUPATION,MIOCCUPATION
33,OCCUPATION_IND,5,5,Professional,5,Professional,,,57,MIOCCUPATION,MIOCCUPATION
34,OCCUPATION_IND,6,6,Agriculturist,6,Agriculturist,,,58,MIOCCUPATION,MIOCCUPATION
35,OCCUPATION_IND,7,7,Retired,7,Retired,,,59,MIOCCUPATION,MIOCCUPATION
36,OCCUPATION_IND,8,8,Housewife,8,Housewife,,,60,MIOCCUPATION,MIOCCUPATION
37,OCCUPATION_IND,9,9,Student,9,Student,,,1623,TIN_EXEMPT_REASON,TIN_EXEMPT_REASON
38,OCCUPATION_IND,99,10,Others (please specify),10,Others (please specify),,,,,
39,PAN_EXEMPT,0,9,Not Exempted,1,notexempted,,,,,
40,PAN_EXEMPT,1,1,Sikkim residents,2,sikkimres,,,,,
41,PAN_EXEMPT,2,2,Transaction carried out on behalf of state govt,3,stategovttxn,,,,,
42,PAN_EXEMPT,3,3,Transactions carried out on behalf of central govt,4,centralgovttxn,,,,,
43,PAN_EXEMPT,4,4,Court appointed officials,5,courtofficials,,,,,
44,PAN_EXEMPT,5,5,UN entity / multi-lateral agency exempt from paying tax in India,6,unmlagency,,,,,
45,PAN_EXEMPT,6,6,Official liquidator,7,officialliquidator,,,,,
46,PAN_EXEMPT,7,7,Court receiver,8,courtreceiver,,,,,
47,PAN_EXEMPT,8,8,"SIP of mutual funds up to INR 50,000 per annum",9,sipmutualfunds,,,,,
48,KYCTYPE,5,1,Digilocker KYC,1,Digilocker,,5,,,
49,KYCTYPE,3,2,Digital KYC,2,Digital,,3,,,
50,KYCTYPE,4,3,eKYC offline,3,Ekycoffline,,4,,,
51,KYCTYPE,2,4,eKYC with biometric,4,Ekycbio,,2,,,
52,KYCTYPE,1,5,eKYC with OTP,5,Ekycotp,,1,,,
53,KYCTYPE,0,6,Normal KYC,6,Normalkyc,,0,,,
54,KYCTYPE,6,7,SARAL KYC,7,Saralkyc,,6,1616,MIEKYCTYPE,MIEKYCTYPE
55,MARITAL_STATUS,1,1,Married,1,Married,,M,1223,MIMARITALSTATUS,MIMARITALSTATUS
56,MARITAL_STATUS,2,2,Single,2,Single,,S,1222,MIMARITALSTATUS,MIMARITALSTATUS
57,MARITAL_STATUS,3,3,Widow,3,Widow,,,,,
