trim_bmt_bp_id,bmt_bp_id,bmt_vers,bmt_catg_cd,bmt_shrt_nm,bmt_bp_adnl_nm,bmt_cmpy_id,bmt_cntry_cd,bmt_place_desc,bmt_dflt_addr_srl,bmt_hldng_lmt,bmt_multpn_fctr,bmt_alrt_prcnt,bmt_crtn_authid,bmt_upd_authid,bmt_crtn_date,bmt_upd_date,bmt_crtn_tmstmp,bmt_upd_tmstmp,bmt_bp_prev_nm,bmt_cmpy_cin,bmt_cmpy_inc_date,bmt_sebi_reg_num,bmt_dp_id,bmt_pan,bmt_off_addr_1,bmt_off_addr_2,bmt_off_addr_3,bmt_off_city,bmt_off_state,bmt_off_country,bmt_off_pin_code,bmt_off_tel,bmt_off_fax_num,bmt_cor_addr_1,bmt_cor_addr_2,bmt_cor_addr_3,bmt_cor_city,bmt_cor_state,bmt_cor_country,bmt_cor_pin_code,bmt_cor_tel,bmt_cor_fax_num,bmt_cmp_offr_nm,bmt_cmp_offr_dsgn,bmt_cmp_offr_email,bmt_cmp_offr_tel,bmt_cmp_offr_fax,bmt_cmp_offr_mob,bmt_admn_nm,bmt_admn_dsgn,bmt_admn_email,bmt_admn_tel,bmt_admn_fax,bmt_admn_mob,bmt_cert_auth_nm,bmt_cert_num,bmt_cor_state_other,bmt_off_state_other,bmt_same_mkr_chkr_flag,bmt_bp_active,bmt_sebi_cert_exp_dt,bmt_billing_email_id,bmt_tan,bmt_gstn,bmt_sebi_cert_rgstrn_dt,rn,rfm_rta_id,rfm_fundcode,rfm_bp_id,rfm_fundname,rfm_funddesc,create tmstmp,Modify tmstmp,modify user,create user,rn-2
A0011,A0011   ,0,1,ANKIT COMMODITIES,ANKIT COMMODITIES,,1,,0,,,,SHEELAG ,SHEELAG ,2015-07-14,2015-07-14,2015-07-14 17:30:17,2015-07-14 17:30:17,,,,MCX/TCM/PROP/0496,        ,ABAPM6943P,"8, VIVEKANAND VILLA, NEAR SHOPPER'S ","S.V. ROAD,","ANDHERI WEST,",MUMBAI,19,85,400058,022-26719939,022-26719992,"8, VIVEKANAND VILLA, NEAR SHOPPER'S ","S.V. ROAD,","ANDHERI WEST,",MUMBAI,19,85,400058,022-26719939,022-26719992,MR. INDRACHAND VERMA,COMPLIANCE OFFIC,dummy_mail@dummy.com,022-26719939,,0,MR. INDRACHAND VERMA,COMPLIANCE OFFIC,dummy_mail@dummy.com,022-26719939,022-26719992,0,,,,,,,,,,,,1,,,,,,,,,,
A0022,A0022   ,0,1,VED BROTHERS SECURITIES PVT.LTD.,VED BROTHERS SECURITIES PVT.LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-07-14,2015-07-14,2015-07-14 17:38:51,2015-07-14 17:38:51,,U67120MH2001PTC130850,2001-02-14,INB231281230,        ,AABCN2375M,"WANKHEDI STADIUM,","NORTH STAND, NEXT TO MEDIA CENTER,","D ROAD, CHURCHGATE",MUMBAI,19,85,400020,022-22816932,022-22819263,"WANKHEDI STADIUM,","NORTH STAND, NEXT TO MEDIA CENTER,","D ROAD, CHURCHGATE",MUMBAI,19,85,400020,022-22816932,022-22819263,MR. RAMPAL M. SHARMA,COMPLIANCE OFFIC,dummy_mail@dummy.com,022-22816932,022-22819263,0,MR. RAJESH R VED,DIRECTOR,dummy_mail@dummy.com,022-22816932,022-22819263,0,,,,,,,,,,,,1,,,,,,,,,,
A0033,A0033   ,0,1,MASTER COMMODITY SERVICES LTD.,MASTER COMMODITY SERVICES LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-07-14,2015-07-14,2015-07-14 18:02:05,2015-07-14 18:02:05,,U74999PB1991PLC11574,1991-08-13,NCDEX/TCM/CORP/0138,        ,AAACE3600M,"MASTER CHAMBERS,","19 FEROZE GANDHI MARKET,",,LUDHIANA,26,85,141001,0161-3911500,0161-3911500,"1012, 10TH FLOOR,",ARUNACHAL BUILDING,19 BARAKHAMBA ROAD,NEW DELHI,9,85,110001,011-42111000,011-42111040,MR. SHIVENDRA DHYANI,MANAGER,dummy_mail@dummy.com,0120-3311157,0120-3311122,0,MR.SHIVENDRA DHAVANI,MANAGER,dummy_mail@dummy.com,0120-3311157,0120-3311122,0,,,,,,,,,,,,1,,,,,,,,,,
A0044,A0044   ,0,1,ML COMMODITIES PRIVATE LIMITED,ML COMMODITIES PRIVATE LIMITED,,1,,0,,,,SHEELAG ,SHEELAG ,2015-07-14,2015-07-14,2015-07-14 18:11:23,2015-07-14 18:11:23,,U67190HR2012PTC045582,2012-04-04,MCX/TCM/CORP/1996,        ,AAHCM8334P,"AC1/22 KINGSTREET,","TDI CITY, KUNDLI,",,SONEPAT,12,85,132101,011-29212411,011-29218032,"M-15, M BLOCK MARKET,",GREATER KAILASH -II,,NEW DELHI,9,85,110048,011-29212411,011-29218032,MS. NIDHI LAL,DIRECTOR,dummy_mail@dummy.com,011-29212411,011-29218032,0,MR. SUBHASH CHANDER SAXENA,GENERAL MANAGER,dummy_mail@dummy.com,011-29212411,011-29218032,0,,,,,,,,,,,,1,,,,,,,,,,
A0055,A0055   ,0,1,VSP COMOTRADE PRIVATE LIMITED,VSP COMOTRADE PRIVATE LIMITED,,1,,0,,,,SHEELAG ,SHEELAG ,2015-07-14,2015-07-14,2015-07-14 18:39:53,2015-07-14 18:39:53,,U51909DL2005PTC139545,2005-08-10,NCDEX/TCM/CORP/0663,        ,AACCV1807H,"C-43, LAWRENCE ROAD,","INDUSTRIAL AREA,",,DELHI,9,85,110035,011-47097187,,"C-43, LAWRENCE ROAD,","INDUSTRIAL AREA,",,DELHI,9,85,110035,011-47097187,,MR. SAURABH GUPTA,DIRECTOR,dummy_mail@dummy.com,011-47097187,,0,MR. SAURABH GUPTA,DIRECTOR,dummy_mail@dummy.com,011-47097187,,0,,,,,,,,,,,,1,,,,,,,,,,
A0066,A0066   ,0,1,SHRI PARASRAM COMMODITIES PVT. LTD.,SHRI PARASRAM COMMODITIES PVT. LTD.,,1,,0,,,,SHEELAG ,PRDKRA  ,2015-07-14,2015-07-14,2015-07-14 18:43:02,2015-10-09 11:40:47,,U74899DL1995PTC063996,1995-01-03,MCX/TCM/CORP/0828,        ,AAACS4492D,"GUPTA CHAMBER,","B- 7, NIMRI SHOPPING CENTER",BHARAT NAGAR,DELHI,9,85,110052,011-47000000,011-27305336,"GUPTA CHAMBER,","B- 7, NIMRI SHOPPING CENTER",BHARAT NAGAR,DELHI,9,85,110052,011-47000000,011-27305336,MR. PRABODH GUPTA,COMPLIANCE OFFIC,dummy_mail@dummy.com,011-47000000,011-27305336,0,MR. PRABODH GUPTA,COMPLIANCE OFFIC,dummy_mail@dummy.com,011-47000000,011-27305336,0,,,,,Y,,,,,,,1,,,,,,,,,,
A0077,A0077   ,0,1,VIRGO FINANCE PRIVATE LIMITED,VIRGO FINANCE PRIVATE LIMITED,,1,,0,,,,SHEELAG ,SHEELAG ,2015-07-16,2015-07-16,2015-07-16 12:11:45,2015-07-16 12:11:45,,U74899DL1985PTC022305,1985-10-18,MCX/TCM/CORP/1206,        ,AAACV0329C,"C-43, LAWRENCE ROAD,","INDUSTRIAL AREA,",,DELHI,9,85,110035,011-47097187,,"C-43, LAWRENCE ROAD,","INDUSTRIAL AREA,",,DELHI,9,85,110035,011-47097187,,MR. SAURABH GUPTA,DIRECTOR,dummy_mail@dummy.com,011-47097187,,0,MR. SAURABH GUPTA,DIRECTOR,dummy_mail@dummy.com,011-47097187,,0,,,,,,,,,,,,1,,,,,,,,,,
A0088,A0088   ,0,1,DESTIMONEY COMMODITIES PVT. LTD.,DESTIMONEY COMMODITIES PVT. LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-07-20,2015-07-20,2015-07-20 18:03:21,2015-07-20 18:03:21,,U65923MH2010PTC258198,2010-06-29,MCX/TCM/CORP/1902,        ,AADCD5110E,"6TH FLOOR, A- WING,","TECH WEB CENTRE, OSHIWARA,","NEW LINK ROAD, JOGESHWARI WEST,",MUMBAI,19,85,400102,022-61482500,022-67482399,"PHOENIX HOUSE, B WING, 2ND FLOOR,","SENAPATI BAPAT MARG,",LOWER PAREL(WEST),MUMBAI,19,85,400013,022-61482500,022-67482399,MR. MICHAEL D' SOUZA,PRINCIPAL OFFICE,dummy_mail@dummy.com,022-67482661,022-67482399,0,MR. SANJAY NAYAK,HEAD OPERATION,dummy_mail@dummy.com,022-45032500,022-67482399,0,,,,,,,,,,,,1,,,,,,,,,,
A0099,A0099   ,0,1,AUM CAPITAL MARKET PVT. LTD.,AUM CAPITAL MARKET PVT. LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-07-22,2015-07-22,2015-07-22 10:44:39,2015-07-22 10:44:39,,U67120WB2005PTC103417,2005-05-30,INB231276438,        ,AAAC07624B,"AAKASHDEEP, ","5, TOWER ROWDON STREET,","FIRST FLOOR,",KOLKATA,32,85,700020,033-30588464,033-22894073,"AAKASHDEEP, ","5, TOWER ROWDON STREET,","FIRST FLOOR,",KOLKATA,32,85,700020,033-30588464,033-22894073,MR. SHASHANK SHEKHAR,COMPLIANCE OFFIC,dummy_mail@dummy.com,033-30588464,033-22894073,0,MR. SHASHANK SHEKHAR,COMPLIANCE OFFIC,dummy_mail@dummy.com,033-30588464,033-22894073,0,,,,,,,,,,,,1,,,,,,,,,,
A0102,A0102   ,0,1,MEESHIKA VISHWAKARMA,MEESHIKA VISHWAKARMA,,1,,0,,,,SHEELAG ,SHEELAG ,2015-07-22,2015-07-22,2015-07-22 10:53:55,2015-07-22 10:53:55,,,2014-12-28,INA000002504,        ,AVBPV2205J,"18, SOUTH TUKOGANJ,","UG- 69, TRADE CENTER",,INDORE,18,85,452001,8982179427,,"PLOT NO. 362, 1ST & 2ND FLOOR,","P.U.4 SCHEME NO. 54,","VIJAY NAGAR,",INDORE,18,85,452001,8871001271,,MS. MEESHIKA VISHWAKARMA,DIRECTOR,dummy_mail@dummy.com,8871001271,,0,MS. MEESHIKA VISHWAKARMA,DIRECTOR,dummy_mail@dummy.com,8871001271,,0,,,,,,,,,,,,1,,,,,,,,,,
