"kpcm_pincode_unique","kpcm_pincode","kpcm_country","kpcm_state","kpcm_state_code","kpcm_country_code","kpcm_district_city","kpcm_statecode_alphabets","kpcm_countrycode_alphabets"
"756025","756025","INDIA","Orissa","24","85","Baleswar","OR","IN"
"580022","580022","INDIA","Karnataka","15","85","Dharwad","KA","IN"
"825511","825511","INDIA","Jharkhand","35","85","Hazaribagh","JH","IN"
"743193","743193","INDIA","West Bengal","32","85","North 24 Parganas","WB","IN"
"517505","517505","INDIA","Andhra Pradesh","2","85","Chittoor","AP","IN"
"209726","209726","INDIA","Uttar Pradesh","31","85","Kannauj","UP","IN"
"752116","752116","INDIA","Orissa","24","85","Puri","OR","IN"
"606202","606202","INDIA","Tamil Nadu","29","85","Villupuram","TN","IN"
"581207","581207","INDIA","Karnataka","15","85","Dharwad","KA","IN"
"144502","144502","INDIA","Punjab","26","85","Jalandhar","PB","IN"
"828112","828112","INDIA","Jharkhand","35","85","Dhanbad","JH","IN"
"209720","209720","INDIA","Uttar Pradesh","31","85","Kannauj","UP","IN"
"143302","143302","INDIA","Punjab","26","85","Amritsar","PB","IN"
"454552","454552","INDIA","Madhya Pradesh","18","85","Dhar","MP","IN"
"689577","689577","INDIA","Kerala","16","85","Alappuzha","KL","IN"
"824127","824127","INDIA","Bihar","5","85","Aurangabad(BH)","BR","IN"
"768040","768040","INDIA","Orissa","24","85","Bargarh","OR","IN"
"243631","243631","INDIA","Uttar Pradesh","31","85","Budaun","UP","IN"
"784182","784182","INDIA","Assam","4","85","Sonitpur","AS","IN"
"507002","507002","INDIA","Telangana State","36","85","Khammam","TS","IN"
"802211","802211","INDIA","Bihar","5","85","Rohtas","BR","IN"
"743222","743222","INDIA","West Bengal","32","85","North 24 Parganas","WB","IN"
"600041","600041","INDIA","Tamil Nadu","29","85","Kanchipuram","TN","IN"
"533256","533256","INDIA","Andhra Pradesh","2","85","East Godavari","AP","IN"
"132156","132156","INDIA","Haryana","12","85","Kurukshetra","HR","IN"
"752062","752062","INDIA","Orissa","24","85","Khorda","OR","IN"
"783131","783131","INDIA","Assam","4","85","Dhubri","AS","IN"
"679571","679571","INDIA","Kerala","16","85","Malappuram","KL","IN"
"574326","574326","INDIA","Karnataka","15","85","Dakshina Kannada","KA","IN"
"835233","835233","INDIA","Jharkhand","35","85","Gumla","JH","IN"
"396375","396375","INDIA","Gujarat","11","85","Valsad","GJ","IN"
"713323","713323","INDIA","West Bengal","32","85","Purba Bardhaman","WB","IN"
"522202","522202","INDIA","Andhra Pradesh","2","85","Guntur","AP","IN"
"414204","414204","INDIA","Maharashtra","19","85","Beed","MH","IN"
"384241","384241","INDIA","Gujarat","11","85","Patan","GJ","IN"
"570032","570032","INDIA","Karnataka","15","85","Mysuru","KA","IN"
"391170","391170","INDIA","Gujarat","11","85","Vadodara","GJ","IN"
"481990","481990","INDIA","Madhya Pradesh","18","85","Dindori","MP","IN"
"208026","208026","INDIA","Uttar Pradesh","31","85","Kanpur Nagar","UP","IN"
"331503","331503","INDIA","Rajasthan","27","85","Churu","RJ","IN"
"203399","203399","INDIA","Uttar Pradesh","31","85","Bulandshahr","UP","IN"
"226201","226201","INDIA","Uttar Pradesh","31","85","Lucknow","UP","IN"
"364260","364260","INDIA","Gujarat","11","85","Bhavnagar","GJ","IN"
"781101","781101","INDIA","Assam","4","85","Kamrup","AS","IN"
"627501","627501","INDIA","Tamil Nadu","29","85","Tirunelveli","TN","IN"
"110041","110041","INDIA","Delhi","9","85","West Delhi","DL","IN"
"755009","755009","INDIA","Orissa","24","85","Jajapur","OR","IN"
"304501","304501","INDIA","Rajasthan","27","85","Tonk","RJ","IN"
"689664","689664","INDIA","Kerala","16","85","Pathanamthitta","KL","IN"
"270652","270652","INDIA","Uttar Pradesh","31","85","Azamgarh","UP","IN"
"689592","689592","INDIA","Kerala","16","85","Pathanamthitta","KL","IN"
"517175","517175","INDIA","Andhra Pradesh","2","85","Chittoor","AP","IN"
"686568","686568","INDIA","Kerala","16","85","Kottayam","KL","IN"
"360005","360005","INDIA","Gujarat","11","85","Rajkot","GJ","IN"
"143304","143304","INDIA","Punjab","26","85","Tarn Taran","PB","IN"
"328021","328021","INDIA","Rajasthan","27","85","Dholpur","RJ","IN"
"603108","603108","INDIA","Tamil Nadu","29","85","Kanchipuram","TN","IN"
"670646","670646","INDIA","Kerala","16","85","Wayanad","KL","IN"
"788127","788127","INDIA","Assam","4","85","Cachar","AS","IN"
"305924","305924","INDIA","Rajasthan","27","85","Ajmer","RJ","IN"
"273164","273164","INDIA","Uttar Pradesh","31","85","Maharajganj","UP","IN"
"276174","276174","INDIA","Uttar Pradesh","31","85","Azamgarh","UP","IN"
"802131","802131","INDIA","Bihar","5","85","Buxar","BR","IN"
"635151","635151","INDIA","Tamil Nadu","29","85","Krishnagiri","TN","IN"
"534456","534456","INDIA","Andhra Pradesh","2","85","West Godavari","AP","IN"
"134005","134005","INDIA","Haryana","12","85","Ambala","HR","IN"
"801311","801311","INDIA","Bihar","5","85","Nalanda","BR","IN"
"331506","331506","INDIA","Rajasthan","27","85","Churu","RJ","IN"
"835224","835224","INDIA","Jharkhand","35","85","Gumla","JH","IN"
"334804","334804","INDIA","Rajasthan","27","85","Bikaner","RJ","IN"
"444101","444101","INDIA","Maharashtra","19","85","Akola","MH","IN"
"847201","847201","INDIA","Bihar","5","85","Darbhanga","BR","IN"
"271122","271122","INDIA","Uttar Pradesh","31","85","Gonda","UP","IN"
"249121","249121","INDIA","Uttarakhand","34","85","Tehri Garhwal","UA","IN"
"209210","209210","INDIA","Uttar Pradesh","31","85","Kanpur Dehat","UP","IN"
"680516","680516","INDIA","Kerala","16","85","Thrissur","KL","IN"
"277212","277212","INDIA","Uttar Pradesh","31","85","Ghazipur","UP","IN"
"382861","382861","INDIA","Gujarat","11","85","Mahesana","GJ","IN"
"782241","782241","INDIA","Assam","4","85","Karbi Anglong","AS","IN"
"246929","246929","INDIA","Uttarakhand","34","85","Dehradun","UA","IN"
"400052","400052","INDIA","Maharashtra","19","85","Mumbai","MH","IN"
"741163","741163","INDIA","West Bengal","32","85","Nadia","WB","IN"
"231314","231314","INDIA","Uttar Pradesh","31","85","Mirzapur","UP","IN"
"678502","678502","INDIA","Kerala","16","85","Palakkad","KL","IN"
"506201","506201","INDIA","Telangana State","36","85","Warangal","TS","IN"
"515004","515004","INDIA","Andhra Pradesh","2","85","Ananthapur","AP","IN"
"847467","847467","INDIA","Bihar","5","85","Darbhanga","BR","IN"
"700154","700154","INDIA","West Bengal","32","85","South 24 Parganas","WB","IN"
"757092","757092","INDIA","Orissa","24","85","Mayurbhanj","OR","IN"
"605005","605005","INDIA","Pondicherry","25","85","Pondicherry","PY","IN"
"440012","440012","INDIA","Maharashtra","19","85","Nagpur","MH","IN"
"623512","623512","INDIA","Tamil Nadu","29","85","Ramanathapuram","TN","IN"
"768034","768034","INDIA","Orissa","24","85","Bargarh","OR","IN"
"577218","577218","INDIA","Karnataka","15","85","Davangere","KA","IN"
"412508","412508","INDIA","Maharashtra","19","85","Pune","MH","IN"
"636112","636112","INDIA","Tamil Nadu","29","85","Salem","TN","IN"
"446204","446204","INDIA","Maharashtra","19","85","Yavatmal","MH","IN"
"416713","416713","INDIA","Maharashtra","19","85","Ratnagiri","MH","IN"
"500037","500037","INDIA","Telangana State","36","85","Hyderabad","TS","IN"
"412204","412204","INDIA","Maharashtra","19","85","Pune","MH","IN"
"283201","283201","INDIA","Uttar Pradesh","31","85","Agra","UP","IN"
"636013","636013","INDIA","Tamil Nadu","29","85","Salem","TN","IN"
"261204","261204","INDIA","Uttar Pradesh","31","85","Sitapur","UP","IN"
"176324","176324","INDIA","Himachal Pradesh","13","85","Chamba","HP","IN"
"851201","851201","INDIA","Bihar","5","85","Khagaria","BR","IN"
"812006","812006","INDIA","Bihar","5","85","Bhagalpur","BR","IN"
"614101","614101","INDIA","Tamil Nadu","29","85","Tiruvarur","TN","IN"
"173024","173024","INDIA","Himachal Pradesh","13","85","Sirmaur","HP","IN"
"141209","141209","INDIA","Punjab","26","85","Ludhiana","PB","IN"
"825313","825313","INDIA","Jharkhand","35","85","Hazaribag","JH","IN"
"734319","734319","INDIA","West Bengal","32","85","Darjiling","WB","IN"
