"kpcm_pincode","kpcm_country","kpcm_state","kpcm_state_code","kpcm_country_code","kpcm_district_city","kpcm_statecode_alphabets","kpcm_countrycode_alphabets","rn"
"744104","INDIA","Andaman and Nicobar Islands","1","85","South Andaman","AN","IN","1"
"534222","INDIA","Andhra Pradesh","2","85","West Godavari","AP","IN","1"
"792131","INDIA","Arunachal Pradesh","3","85","Tirap","AR","IN","1"
"787029","INDIA","Assam","4","85","Lakhimpur","AS","IN","1"
"841229","INDIA","Bihar","5","85","Siwan","BR","IN","1"
"160009","INDIA","Chandigarh","6","85","Chandigarh","CH","IN","1"
"495555","INDIA","Chhattisgarh","33","85","Bilaspur(CGH)","CG","IN","1"
"396230","INDIA","Dadra and Nagar Haveli","7","85","Dadra & Nagar Haveli","DN","IN","1"
"396210","INDIA","Daman and Diu","8","85","Daman","DD","IN","1"
"110096","INDIA","Delhi","9","85","East Delhi","DL","IN","1"
"403503","INDIA","Goa","10","85","North Goa","GA","IN","1"
"391530","INDIA","Gujarat","11","85","Vadodara","GJ","IN","1"
"136132","INDIA","Haryana","12","85","Kurukshetra","HR","IN","1"
"177024","INDIA","Himachal Pradesh","13","85","Hamirpur(HP)","HP","IN","1"
"119322","INDIA","Jammu & Kashmir","14","85","Kupwara","JK","IN","1"
"822114","INDIA","Jharkhand","35","85","Garhwa","JH","IN","1"
"585318","INDIA","Karnataka","15","85","Kalaburagi","KA","IN","1"
"895143","INDIA","Kerala","16","85","Thiruvananthapuram","KL","IN","1"
"194106","INDIA","Ladakh","37","85","Leh","LA","IN","1"
"682559","INDIA","Lakshadweep","17","85","Lakshadweep","LD","IN","1"
"480224","INDIA","Madhya Pradesh","18","85","Chhindwara","MP","IN","1"
"455409","INDIA","Maharashtra","19","85","Nandurbar","MH","IN","1"
"795130","INDIA","Manipur","20","85","Thoubal","MN","IN","1"
"794106","INDIA","Meghalaya","21","85","West Garo Hills","ML","IN","1"
"796005","INDIA","Mizoram","22","85","Aizawl","MZ","IN","1"
"798617","INDIA","Nagaland","23","85","Mokokchung","NL","IN","1"
"759118","INDIA","Orissa","24","85","Angul","OR","IN","1"
"605014","INDIA","Pondicherry","25","85","Pondicherry","PY","IN","1"
"152114","INDIA","Punjab","26","85","Muktsar","PB","IN","1"
"341028","INDIA","Rajasthan","27","85","Nagaur","RJ","IN","1"
"737132","INDIA","Sikkim","28","85","East Sikkim","SK","IN","1"
"632511","INDIA","Tamil Nadu","29","85","Vellore","TN","IN","1"
"500057","INDIA","Telangana State","36","85","Hyderabad","TS","IN","1"
"799121","INDIA","Tripura","30","85","South Tripura","TR","IN","1"
"904060","INDIA","Uttar Pradesh","31","85","Agra","UP","IN","1"
"249901","INDIA","Uttarakhand","34","85","Garhwal","UA","IN","1"
"711304","INDIA","West Bengal","32","85","Howrah","WB","IN","1"
